Anlassnummer,Anlassbezeichnung
I.BA_SPREN2.19,I.Sicherheit in der Produkt und Projektentwicklung 2
I.BA_SPRG_E.19,I.Sicheres Programmieren
I.BA_SPRG_K.19,I.Sicheres Programmieren
I.BA_SPRG_MM.19,I.Sicheres Programmieren
I.BA_SPTA.19,I.Secure Project und Teamarbeit
I.BA_SQAS.21,I.Software Qualität und Sicherheit
I.BA_SSM.16,I.Service & System Management
I.BA_STA1_E.19,I.Angewandte Statistik 1
I.BA_STA2.17,I.Angewandte Statistik 2
I.BA_STAIR.17,I.Anrechnung Vorstandstätigkeit Studierendenrat
I.BA_STMGT.19,I.Strategic Management
I.BA_SUM_SCHOOL.20,I.International Summer School Lucerne (Blockwoche)
I.BA_SWAT_E.19,I.Software Architecture & Techniques
I.BA_SWAT_K.19,I.Software Architecture & Techniques
I.BA_SWAT_MM.19,I.Software Architecture & Techniques
I.BA_SWDE.19,I.Software Development
I.BA_SWE.17,I.Softwareentwicklung
I.BA_SWENG.19,I.Software Engineering
I.BA_SWT.19,I.Software Testing
I.BA_SYSSEC.20,I.System & Security
I.BA_TUT.16,I.Tutorials
I.BA_UCDE.17,I.User Centered Design – Engineering
I.BA_UEDE.18,I.User Experience Design & Engineering
I.BA_UGDM.16,I.Unternehmungsgründungen in digitalen Märkten
I.BA_UKOM.17,I.Unternehmenskommunikation & Sprachtechnologien
I.BA_USAB.16,I.Usability
I.BA_VID.19,I.Visual Interface Design
I.BA_VRT.19,I.Virtual Reality Technologies
I.BA_VSK.16,I.Verteilte Systeme & Komponenten
I.BA_VSK_E.21,I.Verteilte Systeme & Komponenten
I.BA_VSK_K.21,I.Verteilte Systeme & Komponenten
I.BA_VSK_MM.21,I.Verteilte Systeme & Komponenten
I.BA_VWL.17,I.Volkswirtschaft
I.BA_WEBLAB.17,I.Web Programming Lab
I.BA_WEBT_E.19,I.Web-Technologien
I.BA_WEBT_K.19,I.Web-Technologien
I.BA_WEBT_MM.19,I.Web-Technologien
I.BA_WECOT.19,I.Web & Communications Technologies
I.BA_WIDA.21,I.Wirtschaft & Datenschutz (Blockwoche)
I.BA_WINT_SCHOOL.17,I.International Winter School Lucerne (Blockwoche)
I.BA_WIPRO.18,I.Wirtschaftsprojekt/Wissenschaftliche Methoden
I.BA_WSFM.20,I.Wissenschaftliches Schreiben & Forschungsmethodik (Blockwoche)
I.BA_XML.19,I.XML & JSON Technologies (Blockwoche)
,
